Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
137320;Omsjö;63.5319;17.1299;245;Nej
71230;Onsala D;57.3843;11.9721;8.184;Ja
108710;Ora;60.02;18.08;10;Nej
162980;Orrbyn;65.9446;22.116;15;Nej
65500;Orrefors D;56.8213;15.6982;174.688;Ja
114070;Orsa D;61.1306;14.638;175;Ja
63220;Osby;56.3742;13.9376;90;Ja
103240;Osebol;60.4;13.2833;145;Nej
76160;Oskarshamn;57.267;16.4114;12.072;Ja
62480;Oskarström;56.7939;12.9731;15;Nej
64000;Ovesholm;55.9901;13.9934;60;Nej
96730;Oxelby;59.55;16.2166;15;Nej
87400;Oxelösund;58.6772;17.1199;7.154;Ja
172950;Paharova;66.8107;22.3408;215;Nej
172940;Paharova A;66.8094;22.3315;227.643;Ja
183760;Pajala;67.2101;23.3928;168;Nej
183750;Pajala A;67.2036;23.3899;163.774;Ja
181850;Parakka;67.4864;21.6687;340;Ja
93430;Pardixhyttan;59.7166;13.9166;163;Nej
183920;Parkajoki;67.7314;23.486;200;Ja
182910;Parkalompolo A;67.7301;22.8219;312.183;Ja
75290;Pauliström;57.4711;15.5037;185;Nej
139550;Pengfors;63.9333;19.6666;80;Nej
137400;Pengsjö;63.6666;17.8;260;Nej
94450;Persberg;59.7494;14.2582;200;Ja
149340;Petisträsk A;64.5659;19.6943;258.047;Ja
161710;Pite-Rönnskär A;65.034;21.5609;4.878;Ja
161790;Piteå;65.2625;21.474;8.268;Ja
161770;Pitsund;65.23;21.52;8;Nej
64380;Pjätteryd;56.6199;14.0229;140;Ja
169980;Porjus;66.9594;19.8259;390;Nej
169990;Porjus2 D;66.9764;19.8443;430;Nej
74440;Prästkulla;57.7236;14.9829;294.019;Ja
179940;Puoltsa;67.7989;19.8596;465;Nej
170760;Puottaure;66.1861;20.2534;320;Ja
53490;Pärup D;55.8096;13.7464;160;Nej
171810;Pålkem;66.3888;21.6098;265;Nej
171820;Pålkem M;66.3855;21.6167;261;Nej
136320;Ramsele;63.4914;16.4826;175;Nej
125110;Ramsjö;62.1843;15.6508;220;Nej
74490;Ramsjöholm;57.8429;14.4317;225;Ja
169930;Randijaur;66.761;19.3166;285;Nej
105290;Rankhyttan;60.4833;15.7333;130;Nej
155730;Ransaren D;65.1391;15.0472;560;Nej
123120;Ransjö;62.1961;13.8743;421;Nej
144550;Raukasjö;64.9197;14.5567;550;Nej
167820;Rebnisluspen;66.4051;17.3331;510;Nej
73080;Reftele D;57.1689;13.5975;150.196;Ja
85530;Regna D;58.8595;15.6973;70;Nej
83280;Remningstorp;58.4524;13.6641;141;Ja
189720;Rensjön A;68.073;19.8351;493.651;Ja
132360;Rensjönäset;63.6;12.65;520;Nej
84210;Renstad;58.3097;14.7236;95;Nej
137200;Resele;63.3267;17.0625;93.834;Ja
62010;Reymersholm;56.0127;12.7218;5;Nej
150080;Rickleå;64.1219;20.9086;15;Ja
95490;Riddarhyttan;59.8076;15.5405;155.819;Ja
188830;Riksgränsen;68.4284;18.1302;508;Nej
98440;Rimbo;59.7487;18.3535;20;Nej
116080;Rimsbo;61.1333;16.1833;330;Nej
98250;Rindö;59.4166;18.3666;5;Nej
72150;Ringhals;57.253;12.1032;10;Nej
78430;Rings;57.7166;18.6333;50;Nej
64600;Rinkaby;55.9833;14.2666;7;Nej
145420;Risbäck D;64.7067;15.5385;370;Nej
108110;Risinge;60.1748;18.224;17.21;Nej
146150;Risnäset D;64.2507;16.4967;306;Nej
135040;Rissna D;63.0584;15.3422;302.072;Ja
78490;Risungs;57.8166;18.9333;20;Nej
177920;Ritsem;67.7261;17.4718;521;Nej
177930;Ritsem A;67.7255;17.4668;541.214;Ja
150110;Robertsfors;64.1935;20.8467;50;Nej
78310;Roma;57.5069;18.4539;32;Nej
78300;Roma Aut;57.4998;18.4639;32;Nej
65160;Ronneby-Bredåkra;56.2619;15.2742;58;Ja
72300;Rossared D;57.4708;12.195;41.339;Ja
81450;Rossö;58.8502;11.1787;8;Ja
136560;Rossön;63.9338;16.3694;234.498;Ja
125250;Rotnäset D;62.3993;15.4386;251.782;Ja
127430;Rundbacken;62.7101;17.1765;130;Nej
139320;Rundvik D;63.5422;19.4377;10;Nej
97340;Runsa;59.5593;17.8252;25;Nej
173880;Ruokojärvi;66.6127;23.298;170;Nej
148490;Rusksele D;64.8166;18.8886;225;Ja
64620;Ryd;56.45;14.7166;140;Nej
84640;Ryholm;58.5819;14.2167;95;Nej
75160;Ryningsnäs;57.2666;15.9333;90;Nej
64590;Räfsebo D;56.9857;14.2124;185;Ja
105200;Rämshyttan;60.3333;15.2;260;Nej
124280;Rätan;62.4836;14.541;359.575;Ja
105540;Rättvik;60.8928;15.1087;175;Nej
103000;Råda;59.9911;13.5948;125;Nej
103630;Råforsen;60.45;13.7666;315;Nej
171800;Råneå-Flakaberg;66.3615;21.847;220;Nej
73480;Rångedala A;57.7846;13.1642;297.467;Ja
83630;Rånna;58.45;13.8333;125;Nej
98470;Rånäs;59.7833;18.3;20;Nej
146260;Råsele;64.4191;16.812;330;Nej
140490;Röbäcksdalen;63.813;20.2398;10;Ja
162790;Rödkallen A;65.3121;22.3709;1.932;Ja
172840;Rödupp;66.4585;22.7855;55;Ja
62110;Rögle;56.1833;12.8;10;Nej
63140;Röke;56.2393;13.5278;115;Nej
156830;Rönnberga;65.4333;16.7333;540;Nej
81040;Rörastrand;58.0578;11.6454;9.465;Ja
